Prompt Cards,Special,Set,Sheet,Version Comments,,Response Cards,Set,Sheet,Version Comments
Mother's Day would not be complete without ______.,,KinderPerfect: More Expansion Pack,Third Party Commercial,,,A tub of Vaseline.,"Guards Against Insanity, Edition 1",Third Party Commercial,
Movie executives decided the next buddy cop franchise should pair ______ with ______.,PICK 2,The Game Without Decency,Stand Alone Games,,,A tube of K-Y jelly,The Game Without Decency,Stand Alone Games,
"Mr. and Mrs. Diaz, we called you in because we're concerned about Cynthia. Are you aware that your daughter is ______?",,CAH Base Set,CAH Base Set,,,a tucked penis,Skewered And Roasted,Stand Alone Games,
Mr. President the situation is worse than we thought. We're going to DEFCON _________.,,Charlie Foxtrot,Third Party Commercial,,,A Tumblr drama queen.,Cats Abiding Horribly: Episode III - The SJWs Strike Back,Third Party Commercial,
Mrs. Claus needed to deliver the presents this year because Santa was too busy _________.,,Humanity Hates The Holidays,Stand Alone Games,,,a tumor with teeth and hair,Evil Apples,Stand Alone Games,
MTV's new reality show features eight washed-up celebrities living with ______.,,CAH Base Set,CAH Base Set,,,A Tunnel of Gloryholes.,Voter's Choice: The Second Expansion,Third Party Commercial,
Must love Jesus and ______.,,Carbs of the Huge Manatee - Online Dating Expansion 1,Third Party Commercial,,,"A turbo-encabulator, complete with pre-famulated amulite surmounted by a malleable logarithmic casing.",Crabs Adjust Humidity: Volume 5,Third Party Commercial,
My ______ is getting bigger and bigger by the day.,,Babies vs. Parents,Stand Alone Games,,,"A turbo-encabulator, complete with pre-famulated amulite surmounted by a malleable logarithmic casing.",Crazy & Horrible Rabbit - Vol. 1,Third Party Commercial,
"My 3 step solution to regain American prominence abroad: _________, _________, and __________.","DRAW 2, PICK 3","Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,A turd burglar,Kids Against Maturity,Stand Alone Games,
"My addcition was so out of control, there was nothing I wouldn't do for just a whiff of ______.",,Cats Abiding Horribly: Episode III - The SJWs Strike Back,Third Party Commercial,,,A Turd Burglar,Personally Incorrect,Stand Alone Games,
My addiction to ______ is starting to negatively affect my life.,,WTF Did You Say?!?,Stand Alone Games,,,A turd.,CAH: Blue Box Expansion,CAH Expansions,
My allowance this week is going to _________.,,Not Parent Approved,Stand Alone Games,,,A turd.,CAH: Sixth Expansion,CAH Expansions,
My anaconda don't want none unless you got ______ Hun.,,Cakes Athirst Hilarity Volume 1,Third Party Commercial,,,A turkey baster,Kids Against Maturity,Stand Alone Games,
"My anaconda don't want none unless you got ______, hun.",,Cards and Punishment Vol. Two,Third Party Commercial,,,A turkey baster.,Babies vs. Parents,Stand Alone Games,
My baby feels exactly like ______.,,Babies vs. Parents,Stand Alone Games,,,A turkey baster.,Fun in the Oven,Stand Alone Games,
My baby has ______.,,Babies vs. Parents,Stand Alone Games,,,a twat flash,Skewered And Roasted,Stand Alone Games,
My baby will grow up to master ______.,,Babies vs. Parents,Stand Alone Games,,,A Twatadile.,Crabs Adjust Humidity: Volume 7,Third Party Commercial,
My baby's diaper is so full of ______.,,Babies vs. Parents,Stand Alone Games,,,A Twatwaffle,Personally Incorrect,Stand Alone Games,
My babysitter says I can't have a snack until I clean up all of my _______.,,Kids Create Absurdity,Stand Alone Games,,,A tween who knows everything,KinderPerfect (Commercial Set),Third Party Commercial,
"my babysitter tucked me in last night, then leaned in close and whispered ______",,That's What She Said Game,Stand Alone Games,,,A twelve pack and a prayer.,Carps & Angsty Manatee - Texas Edition,Third Party Commercial,
My babysitter's worst fear is _________.,,Not Parent Approved,Stand Alone Games,,,A twink in a bounce house.,Pride Pack,CAH Packs/Limited Release Packs,
My bedroom smells like ______.,,Cards Against Profanity,Stand Alone Games,,,A two-for-one coupon at Sizzlers,Cards Against Profanity,Stand Alone Games,
My belly is really craving ______.,,Babies vs. Parents,Stand Alone Games,,,A two-liter of dip spit.,Cols Against Kentucky 2,Third Party Commercial,
My best friend died texting while driving. The last text she sent before crashing was about ______.,,Words Against Morality: Volume 4,Third Party Commercial,,,A U.S. senator still in the closet,The Game Without Decency,Stand Alone Games,
My best friend stopped talking to me over ______.,,Not Parent Approved Expansion Pack #2,Stand Alone Games,,,A Ugandan warlord.,CAH: Blue Box Expansion,CAH Expansions,
My best friends always pick their ______ in class.,,Kids Create Absurdity,Stand Alone Games,,,A Ugandan warlord.,CAH: Fourth Expansion,CAH Expansions,
My best parenting advice involves ______.,,KinderPerfect (Commercial Set),Third Party Commercial,,,A unicorn farting rainbows,Kids Against Maturity,Stand Alone Games,
My BFF and I have a secret joke about _________.,,Not Parent Approved,Stand Alone Games,,,A unicorn with a unibrow riding a unicycle.,Cards and Punishment Vol. One,Third Party Commercial,
My biggest idol is ______.,,Cakes Athirst Hilarity Volume 2,Third Party Commercial,,,a urinary tract infection,Evil Apples,Stand Alone Games,
My biggest regret is ever getting involved with ______.,,Carps & Angsty Manatee - Volume 2,Third Party Commercial,,,A urinary tract infection.,Absurd Box Expansion,CAH Expansions,
My biggest source of embarrassment is _________.,,Not Parent Approved,Stand Alone Games,,,A urine-filled bong.,Crabs Adjust Humidity: Volume 4,Third Party Commercial,
My birthday party is going to be epic because ______ is coming.,,Kids Create Absurdity,Stand Alone Games,,,A used car salesman.,Cats Abiding Horribly: Episode III - The SJWs Strike Back,Third Party Commercial,
"My body, my voice! ______, my choice!",,Period Pack,CAH Packs/Commercial Packs,,,A used condom.,Babies vs. Parents,Stand Alone Games,
My boss caught me daydreaming about ______ at work.,,Evil Apples,Stand Alone Games,,,A used diaper filled with Indian food.,Clones Attack Hilarity #1,Third Party Commercial,
My boss heard me talking about ______ and now I have to have a meeting with HR.,,Evil Apples,Stand Alone Games,,,A Used Tampon,Personally Incorrect,Stand Alone Games,
My boss's wife really enjoys ____ with ____,PICK 2,Pigs Against Profanity: Volume 1,Third Party Commercial,,,a user manual,Skewered And Roasted,Stand Alone Games,
My brother his my markers in ______.,,Kids Against Maturity,Stand Alone Games,,,A VA hospital.,Charlie Foxtrot,Third Party Commercial,
"My brother must be going through puberty, because he spends most of his time _________.",,Not Parent Approved,Stand Alone Games,,,A vaccine against being gay,The Game Without Decency,Stand Alone Games,
My campaign bus is fully stocked with _________.,,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,A vagina so big there's an echo.,"Guards Against Insanity, Edition 3",Third Party Commercial,
My children are always so happy when they get to enjoy ______.,,"Crows Adopt Vulgarity, Vol. 2",Third Party Commercial,,,A vagina that beatboxes when it's horny.,Absurd Box Expansion,CAH Expansions,
My college degree did not prepare me for ______.,,KinderPerfect (Commercial Set),Third Party Commercial,,,A vagina that leads to another dimension.,CAH : Third Expansion,CAH Expansions,
My contribution to the potluck was ______,,Cards About Toronto,Third Party Commercial,,,A vagina that leads to another dimension.,CAH Base Set,CAH Base Set,
"My country, 'tis of thee, sweet land of ______.",,CAH : Second Expansion,CAH Expansions,,,A vagina that leads to another dimension.,CAH: Red Box Expansion,CAH Expansions,
"My country, 'tis of thee, sweet land of ______.",,CAH: Red Box Expansion,CAH Expansions,,,A vagina that tastes like the bathroom floors at Tom's Diner.,The Worst Card Game: Colorado Edition,Third Party Commercial,
My cousin got kicked out of the house after she brought home ______.,,Cards for the Masses,Stand Alone Games,,,A vagina with big Dallas hair.,Carps & Angsty Manatee - Texas Edition,Third Party Commercial,
"My current relationship is working, thanks to ________.",,Skewered And Roasted,Stand Alone Games,,,A vaginal exam.,Babies vs. Parents,Stand Alone Games,
"My Dad walks in my bedroom and says ""It's time we talk about ______"".",,Kids Against Maturity,Stand Alone Games,,,A vague fear of something called ISIS.,2014 Holiday Pack,CAH Packs/Holiday Packs,
My Dad's worst habit is _________.,,Not Parent Approved,Stand Alone Games,,,A vajazzled vagina.,CAH Base Set,CAH Base Set,
My dancing would really improve if I worked on two things: my connection and _______________.,,Carbs of the Huge Manatee: Dance Expansion 1,Third Party Commercial,,,a vampire making tea with a used tampon,Evil Apples,Stand Alone Games,
My date apparently could see auras.  What did she see from my past that left her terrified and in the fetal position?,,Carbs of the Huge Manatee - Online Dating Expansion 1,Third Party Commercial,,,A vampire romance novel,Cards Against Profanity,Stand Alone Games,
my daughter had a sleepover and I was shocked when I overheard ______,,That's What She Said Game - First Expansion,Stand Alone Games,,,A van full of screaming children.,"Crows Adopt Vulgarity, Vol. 4",Third Party Commercial,
My daughter should never know about ______.,,KinderPerfect (Commercial Set),Third Party Commercial,,,a variety of STDs,Skewered And Roasted,Stand Alone Games,
My dentist always yells at me for not brushing my ______.,,Kids Create Absurdity,Stand Alone Games,,,A vascectomy my wife doesn't know about.,WTF Did You Say?!?,Stand Alone Games,
My dissertation considers the relationship between ______ and ______.,PICK 2,Dick,Stand Alone Games,,,A vasectomy.,Fun in the Oven,Stand Alone Games,
My dissertation wasn't complete until I figured out the connection between Milton's “Paradise Lost” and _______________.,,Carbs of the Huge Manatee: General Expansion 3,Third Party Commercial,,,a vast government conspiracy,Evil Apples,Stand Alone Games,
"My doctor says ______ will kill me, but he went to public school, so whatever.",,Evil Apples,Stand Alone Games,,,A vastly superior healthcare system.,CAH Base Set,CAH Base Set,
My doctor told me that I really needed ______.,,Babies vs. Parents,Stand Alone Games,,,A vat of chocolate chip cookie dough,Cards Against Profanity,Stand Alone Games,
My dogs breath smells like ______.,,Kids Create Absurdity,Stand Alone Games,,,A vegan MRE made from raw bell peppers and raccoon fur.,Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,
My earliest childhood memory is of ________.,,Skewered And Roasted,Stand Alone Games,,,A veil made out of duct tape.,Cads About Matrimony,Stand Alone Games,
My ex broke up with me because of my fondness for _______.,,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,,,A vending machine filled with used panties,The Game Without Decency,Stand Alone Games,
My family would be shocked to hear about ______ in my eulogy,,Cards About Toronto,Third Party Commercial,,,A vengeful but loving God.,Charlie Foxtrot,Third Party Commercial,
My father never loved me because I was addicted to ______.,,Cakes Athirst Hilarity Volume 3,Third Party Commercial,,,A verbally abusive Platoon Sergeant.,Charlie Foxtrot,Third Party Commercial,
my father-in-law put his clammy hand on my knee and whispered _______,,That's What She Said Game - First Expansion,Stand Alone Games,,,A very “curious” horse.,Words Against Morality: Volume 3,Third Party Commercial,
My favorite after school snack is ______.,,Kids Against Maturity,Stand Alone Games,,,A very awkward voicemail.,Hilarious!,Stand Alone Games,
My favorite after school subject is ______.,,Kids Against Maturity,Stand Alone Games,,,a very good bowler,Bards Dispense Profanity,Stand Alone Games,
My favorite baby sound is ______.,,Babies vs. Parents,Stand Alone Games,,,a very good whore,Bards Dispense Profanity,Stand Alone Games,
My favorite biblical story is when Jesus shares ______ with the crowd.,,The Game Without Decency,Stand Alone Games,,,A Very Hillary Christmas Special.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too",Stand Alone Games,
My favorite book is about ______.,,Kids Create Absurdity,Stand Alone Games,,,A very intimate Scoutmaster.,"Crows Adopt Vulgarity, Vol. 1",Third Party Commercial,
My favorite cartoon is ______.,,Kids Against Maturity,Stand Alone Games,,,a very mean meaning,Bards Dispense Profanity,Stand Alone Games,
My favorite childhood memory is ______.,,Cards for the Masses,Stand Alone Games,,,A very sensitive ego,Cards Against Profanity,Stand Alone Games,
"My favorite Christmas cookie is made with a lot of sugar, love, and _________.",,Humanity Hates The Holidays,Stand Alone Games,,,"a very strange, enigmatical onject",Dick,Stand Alone Games,
My favorite drink is ______.,,Kids Against Maturity,Stand Alone Games,,,a very superstitious feeling about seals,Dick,Stand Alone Games,
"My favorite hip hop song is about cars, money and ______.",,WTF Did You Say?!?,Stand Alone Games,,,A Vespa,The Game Without Decency,Stand Alone Games,
My favorite hobby is ______.,,Cakes Athirst Hilarity Volume 1,Third Party Commercial,,,a vial of blood,Evil Apples,Stand Alone Games,
My favorite MacGyver episode is where he escaped ______ using only ______.,PICK 2,Cats Abiding Horribly: Episode II - A New Low,Third Party Commercial,,,A vial of Bono's tears,JadedAid: A Card Game to Save Humanitarians,Third Party Commercial,
My favorite Pokemon™character is ______.,,Kids Against Maturity,Stand Alone Games,,,A vibrant 19th century economy.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
My favorite recipe for after-school snacks includes _________.,,Not Parent Approved,Stand Alone Games,,,a vibrating fuckable silicone butt,Evil Apples,Stand Alone Games,
My favorite thing to eat? ______.,,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,,,A vibrating toothbrush.,Clones Attack Hilarity #1,Third Party Commercial,
My favorite thing to read about is ______.,,Kids Against Maturity,Stand Alone Games,,,A victimless crime.,"Guards Against Insanity, Edition 3",Third Party Commercial,
My favorite thing to replace the carrot nose on a snowman is _________.,,Humanity Hates The Holidays,Stand Alone Games,,,A Victoria's Secret model,The Game Without Decency,Stand Alone Games,
my favorite XXX film is called ______,,That's What She Said Game,Stand Alone Games,,,A Vietnam Vet who can still fuck you up.,Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,
My favorite YouTube™ star is famous for _________.,,Not Parent Approved,Stand Alone Games,,,A vindaloo poo.,CAH Base Set,CAH Base Set,
"My fellow Americans: Before this decade is out, we will have ______ on the moon!",,CAH Base Set,CAH Base Set,,,A vindaloo poo.,CAH: UK Conversion Kit,CAH Base Set,
My first love was ________.,,Skewered And Roasted,Stand Alone Games,,,A Violet Wand with multiple attachments.*,Carbs of the Huge Manatee - Kink Expansion 1,Third Party Commercial,
"My first major was Philosophy, but I recently switched to majoring in ______.",,Carps & Angsty Manatee - Volume 2,Third Party Commercial,,,A viral PornHub video,KinderPerfect: Naughty Expansion Pack,Third Party Commercial,
My first Presidential scandal will involve gratuitous amounts of _________.,,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,A virgin,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,
My first sexual encounter involved ________.,,Skewered And Roasted,Stand Alone Games,,,A virgin birth.,Fun in the Oven,Stand Alone Games,
My first thought when my water broke was _______.,,Fun in the Oven,Stand Alone Games,,,A virgin with a tongue piercing.,Cakes Athirst Hilarity Volume 3,Third Party Commercial,
My fortune cookie said I should spend more time playing with ______ and less time with ______.,PICK 2,Carbs of the Huge Manatee: General Expansion 1,Third Party Commercial,,,A virile pastor,The Game Without Decency,Stand Alone Games,
My fortune cookie said: “______ is in your future.”,,Words Against Morality: Volume 2,Third Party Commercial,,,a virtuous and Christian-like conclusion,Bards Dispense Profanity,Stand Alone Games,
my friend Dave was bent over in the locker room and I thought ______,,That's What She Said Game,Stand Alone Games,,,A visibly engorged clitoris.,Cads About Matrimony Poly Pack,Stand Alone Games,
My friends and I like to play hide and go ______.,,Kids Create Absurdity,Stand Alone Games,,,A visibly engorged clitoris.,Cads About Matrimony: Expansion 1,Stand Alone Games,
My friends question my decision about _______.,,Fun in the Oven,Stand Alone Games,,,A vision board filled with Eric Trump's wisest quotes on hotel management and killing leopards.,Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Stand Alone Games,
My girlfriend gave me chocolate-covered _______.,,"Humanity Hates the Holidays ""Love"" Edition",Stand Alone Games,,,A visit from the Royals,Kiwis Against Morality,Stand Alone Games,
"My goddamn roommate is so immature, I actually had to post a ""NO ______"" sign.",,"Crows Adopt Vulgarity, Vol. 4",Third Party Commercial,,,A visit from your time-traveling future selves.,Cads About Matrimony Poly Pack,Stand Alone Games,
"My grandfather worked his way up from nothing. When he came to this country, all he had was the shoes on his feet and ______.",,CAH: Blue Box Expansion,CAH Expansions,,,A visually arresting turtleneck.,2012 Holiday Pack,CAH Packs/Holiday Packs,
"My grandfather worked his way up from nothing. When he came to this country, all he had was the shoes on his feet and ______.",,CAH: Sixth Expansion,CAH Expansions,,,A vivid sex dream involving the Republican frontrunner., 2016 Election Game ,Stand Alone Games,
"My grandmother told me that back in her day, they didn't have fancy things like ____. They had to make do with ___.",PICK 2,Cards With No Sexuality,Third Party Commercial,,,A vodka IV drip courtesy of Doc.,Disgruntled Decks: Army Edition,Stand Alone Games,
"My Grandpa always says ""You can't have _____ if you do not eat your ______"".",PICK 2,Kids Against Maturity,Stand Alone Games,,,a vow of celibacy,Evil Apples,Stand Alone Games,
My Grandpa burped and it smelled like _________.,,Not Parent Approved,Stand Alone Games,,,a Vulcan salute,Skewered And Roasted,Stand Alone Games,
My grandpappy used to sit on the porch and sing an old tune about __________.,,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,A Vuvuzela.,Cards Against/For South Africa,Stand Alone Games,
My greatest asset is ________.,,Skewered And Roasted,Stand Alone Games,,,A Vuvuzela.,Hilarious!,Stand Alone Games,
My greatest fear is ______.,,Evil Apples,Stand Alone Games,,,A wacky waving inflatable arm-flailing tubeman.,Cards and Punishment Vol. Two,Third Party Commercial,
My greatest sexual fantasy involves ________.,,Skewered And Roasted,Stand Alone Games,,,"A Waco, Texas-themed novelty barbecue pit and smoker.",Crabs Adjust Humidity: Volume 4,Third Party Commercial,
My greatest strength is _________.,,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,,,A wad of bills from the TRUMP board game.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
My guidance counselor told me I should focus on ______ as a carrer choice.,,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,,,A walk of shame,Cards About Toronto,Third Party Commercial,
My guilty pleasure? ______,,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,,,A wall of snow that can be seen from miles away.,Blurbs Against Buffalo,Third Party Commercial,
My gym teacher got fired for adding ______ to the obstacle course.,,CAH: Red Box Expansion,CAH Expansions,,,A Wall Street fat cat.,Cats Abiding Horribly: Episode II - A New Low,Third Party Commercial,
My gym teacher got fired for adding ______ to the obstacle course.,,CAH: Third Expansion,CAH Expansions,,,A wall-size print of your first ultrasound,Cads About Maternity - A game for bad mommies,Stand Alone Games,
"My heart skipped a beat when he took my hand, leaned in close, and whispered ""_______.""",,Dick,Stand Alone Games,,,A Walrus Giving Birth,Personally Incorrect - Expansion [Red Box],Stand Alone Games,
"My heart skipped a beat when he took my hand, leaned in close, and whispered ""______.""",,Bards Dispense Profanity,Stand Alone Games,,,A war on all religions except Christianity.,Carps & Angsty Manatee - Texas Edition,Third Party Commercial,
My high school diary has a BUNCH of entries about ______.,,Evil Apples,Stand Alone Games,,,a war zone,Skewered And Roasted,Stand Alone Games,
My high school teacher lied to me about ______.,,Cards Against Profanity,Stand Alone Games,,,A warehouse full of blow up sex dolls.,Clones Attack Hilarity #1,Third Party Commercial,
"My high school yearbook reads ""Most likely to ______.",,Cards for the Masses,Stand Alone Games,,,A warm sack of foreskins,Cards About Toronto,Third Party Commercial,
My highschool nickname was ______.,,WTF Did You Say?!?,Stand Alone Games,,,A warm watermelon with a hole cut in it.,Clones Attack Hilarity #1,Third Party Commercial,
My horoscope predicted _________ would happen!,,Not Parent Approved,Stand Alone Games,,,"a warm, calming shit",Evil Apples,Stand Alone Games,
My house was destroyed in a freak accident by ______.,,WTF Did You Say?!?,Stand Alone Games,,,"A warm, gently fragrant biscuit.",Crabs Adjust Humidity: Volume 2,Third Party Commercial,
My husband definitely thinks I'm ______.,,Babies vs. Parents,Stand Alone Games,,,"a warm, wet pussy",Skewered And Roasted,Stand Alone Games,
My husband is secretly ______.,,Babies vs. Parents,Stand Alone Games,,,A warrant offier vanishing in a puff of smoke.,Disgruntled Decks: Army Edition,Stand Alone Games,
"My husband may have ( his ) _________, but he has never lied to me.",,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too",Stand Alone Games,,,A Washington outsider., 2016 Election Game ,Stand Alone Games,
My ideal first date would definitely include ______.,,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,,,A Washington whorehouse., 2016 Election Game ,Stand Alone Games,
My ideal spouse is ______.,,Cards Against Profanity,Stand Alone Games,,,A waste of fucking time.,"Guards Against Insanity, Edition 4",Third Party Commercial,
My imaginary friend likes to _______ when we hang out.,,Kids Create Absurdity,Stand Alone Games,,,A water balloon filled with buffalo sauce.,"Crows Adopt Vulgarity, Vol. 2",Third Party Commercial,
My imaginary friend's name is ______.,,Kids Against Maturity,Stand Alone Games,,,A water birth.,Babies vs. Parents,Stand Alone Games,
My job description is basically ______.,,WTF Did You Say?!?,Stand Alone Games,,,A water buffalo filled to the brim with pumpkin spice latte and white girl cooze.,Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,
My kids are famous for ______.,,KinderPerfect: More Expansion Pack,Third Party Commercial,,,A water pistol loaded with LSD.,"Crows Adopt Vulgarity, Vol. 3",Third Party Commercial,
my last Tinder date stormed out after my roommate said ______,,That's What She Said Game,Stand Alone Games,,,A waterfall of period blood.,"Crows Adopt Vulgarity, Vol. 1",Third Party Commercial,
My life is ruled by a vicious cycle of ______ and ______.,PICK 2,CAH: Red Box Expansion,CAH Expansions,,,"A waterproof, vibrating attachment.",Cads About Matrimony,Stand Alone Games,
My life is ruled by a vicious cycle of ______ and ______.,PICK 2,CAH: Third Expansion,CAH Expansions,,,"A waterproof, vibrating attachment.",Cads About Matrimony Poly Pack,Stand Alone Games,
My love for you is like ______: peaceful and deep.,,Evil Apples,Stand Alone Games,,,A wave of thirst crashing down on every female Sailor.,Disgruntled Decks: Navy Edition,Stand Alone Games,
My Love is like a _______________.,,Carbs of the Huge Manatee: General Expansion 3,Third Party Commercial,,,A wax statue of John Wayne.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
My lover's hidden talent is ______.,,Babies vs. Parents,Stand Alone Games,,,A weak gag reflex,Cards Against Profanity,Stand Alone Games,
My main goal in life is ________.,,Skewered And Roasted,Stand Alone Games,,,A weak grasp on reality,Cards Against Profanity,Stand Alone Games,
My memory of last night is pretty hazy. I remember ______ and that's pretty much it.,,CAH: College Pack,CAH Packs,,,A weak pull-out game,KinderPerfect: Naughty Expansion Pack,Third Party Commercial,
My million dollar idea combines ________ with ________.,PICK 2,Skewered And Roasted,Stand Alone Games,,,a wealthy Hebrew,Bards Dispense Profanity,Stand Alone Games,
"my mind's telling me no, but my body's telling me ______",,That's What She Said Game - Second Expansion,Stand Alone Games,,,A Weapon of Ass Destruction,Personally Incorrect - Expansion [Red Box],Stand Alone Games,
My mom always said ______ builds character.,,KinderPerfect: More Expansion Pack,Third Party Commercial,,,A web of lies.,CAH Base Set,CAH Base Set,
My mom and dad told me about sex using ________ for illustration.,,Skewered And Roasted,Stand Alone Games,,,A web of lies.,CAH: First Expansion,CAH Expansions,
My mom freaked out when she looked at my browser history and found ______.com/______.,PICK 2,CAH : Second Expansion,CAH Expansions,,,A web of lies.,CAH: Red Box Expansion,CAH Expansions,
My mom freaked out when she looked at my browser history and found ______.com/______.,PICK 2,CAH Base Set,CAH Base Set,,,A wedding reception. Again.,Cards Against Profanity,Stand Alone Games,
My mom freaked out when she looked at my browser history and found ______.com/______.,PICK 2,CAH: Red Box Expansion,CAH Expansions,,,A weed elemental who gets everyone high.,Fantasy Pack,CAH Packs/Commercial Packs,
My Mom ran over ______ with the mini van.,,Kids Against Maturity,Stand Alone Games,,,A week of nonstop cartoon marathons.,Not Parent Approved,Stand Alone Games,
My Mom read my diary and found out that I really like _________.,,Not Parent Approved,Stand Alone Games,,,A weepy jerk sesh using tears of loneliness while everyone else is on Christmas leave.,Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,
My mom said that ________ helps the medicine go down.,,Skewered And Roasted,Stand Alone Games,,,A weird guy who says weird stuff and weirds me out.,CAH: Green Box Expansion,CAH Expansions,
My Mom sent me to the grocery store to pick up ______.,,Kids Against Maturity,Stand Alone Games,,,A well endowed wet nurse,Cads About Maternity - A game for bad mommies,Stand Alone Games,
My mom stressed the importance of ________.,,Skewered And Roasted,Stand Alone Games,,,A well placed thumb.,"Guards Against Insanity, Edition 2",Third Party Commercial,
My mom's cooking tastes like ______.,,Kids Against Maturity,Stand Alone Games,,,A well-hung Afghan child.,Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,
My Mom's farts smell like _______.,,Kids Against Maturity,Stand Alone Games,,,A well-hung toddler,KinderPerfect: A Timeout For Parents (Kickstarter Set),Third Party Commercial,
My most embarrassing memory has to do with ______.,,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,,,A well-hung toddler,KinderPerfect (Commercial Set),Third Party Commercial,
My most embarrassing teenage memory? Let's just say it involved ______.,,Dick,Stand Alone Games,,,"A well-placed ""thanks Obama.""", 2016 Election Game ,Stand Alone Games,
My most memorable day involved ______.,,Cards Against Profanity,Stand Alone Games,,,A well-regulated militia.,Crabs Adjust Humidity: Volume 7,Third Party Commercial,
My most popular search term on Pornhub is ________,,Pigs Against Profanity: Volume 2,Third Party Commercial,,,A were-salmon.,Crabs Adjust Humidity: Volume 2,Third Party Commercial,
My most recent gray hair is from ______.,,KinderPerfect (Commercial Set),Third Party Commercial,,,A Wesley Crusher blow-up doll.,TableTop Pack,CAH Packs/Limited Release Packs,
My most significant contribution to this group is ________.,,Skewered And Roasted,Stand Alone Games,,,A West Point pillow fight.,Disgruntled Decks: Army Edition,Stand Alone Games,
My mother was right about ______.,,KinderPerfect (Commercial Set),Third Party Commercial,,,"A wet and muddy, smelly dog",Kids Create Absurdity,Stand Alone Games,
My mother-in-law looks a lot like ______.,,Babies vs. Parents,Stand Alone Games,,,a wet baby and a pile of shit on a birthing table,Evil Apples,Stand Alone Games,
My Mother-in-law won't stop bugging me about ______.,,Fun in the Oven,Stand Alone Games,,,A wet dream nightmare.,Cards With No Sexuality,Third Party Commercial,
"My name is DJ ______, and I'm about to bring the sick beats!!",,Dick,Stand Alone Games,,,A wet nurse.,Fun in the Oven,Stand Alone Games,
My name is Inigo Montoya. You killed my father. Prepare for ______.,,Reject Pack,CAH Packs/Limited Release Packs,,,a wet t-shirt contest,Skewered And Roasted,Stand Alone Games,
my new favorite happy hour drink is called _______,,That's What She Said Game - First Expansion,Stand Alone Games,,,"A wet, dirty sponge",Kids Create Absurdity,Stand Alone Games,
"My new favorite porn star is Joey ""______"" McGee.",,CAH : Second Expansion,CAH Expansions,,,a whale spreading its labia and enveloping a submarine,Evil Apples,Stand Alone Games,
"My new favorite porn star is Joey ""______"" McGee.",,CAH: Red Box Expansion,CAH Expansions,,,A whale that's been declared obese.,"Crows Adopt Vulgarity, Vol. 4",Third Party Commercial,
My new favorite sexual position is ______.,,"Crows Adopt Vulgarity, Vol. 2",Third Party Commercial,,,A whale-mating display.,Hilarious!,Stand Alone Games,
my new scented candle is called _______,,That's What She Said Game - Second Expansion,Stand Alone Games,,,a whale's vagina,Evil Apples,Stand Alone Games,
My new startup features overnight delivery of ______.,,The Game Without Decency,Stand Alone Games,,,A whale's vagina.,Clones Attack Hilarity #1,Third Party Commercial,
My New Year's resolution is to give up _________.,,Not Parent Approved,Stand Alone Games,,,A whatchamacallit,Kids Create Absurdity,Stand Alone Games,
My New Year's resolution is to stop ______.,,Words Against Morality: Volume 3,Third Party Commercial,,,A wheelchair death race.,CAH Base Set,CAH Base Set,
my new YouTube channel is called ______,,That's What She Said Game,Stand Alone Games,,,A whimsical Ashley Madison profile.,Cads About Matrimony Poly Pack,Stand Alone Games,
My newest bumper sticker shows everyone that I support ______.,,Carps & Angsty Manatee - Volume 2,Third Party Commercial,,,A whimsical Ashley Madison profile.,Cads About Matrimony: Expansion 1,Stand Alone Games,
My newest docuseries deals with people coping with ______.,,Cards for the Masses,Stand Alone Games,,,a whiny bitch,Skewered And Roasted,Stand Alone Games,
My next birthday piñata will be in the shape of _________.,,Not Parent Approved,Stand Alone Games,,,A white hot something or other,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,
My NGO name means ______ in Kiswahili.,,JadedAid: A Card Game to Save Humanitarians,Third Party Commercial,,,A White Panel Van with a Sign That Says “Free Candy.”,Carbs of the Huge Manatee: General Expansion 3,Third Party Commercial,
